Refcode    FHe,T(-)   Density(g/cm3)   PoreVolume(cm3/g)   SAC,T(A2) SAC,T(m2/g) SAC,T(m2/cm3)
ANEFIK     0.723591     0.775     0.9340     12423.287295  2988.580296  2315.369508
ANEHOS     0.290662     1.452     0.2002     414.756103  72.306749  104.958068
ANEQEQ     0.818924     0.496     1.6495     14511.250806  6094.271266  3025.587810
ANEQIU     0.500321     1.046     0.4782     1095.041056  297.665847  311.426153
ANESOC     0.15049     1.602     0.0939     259.878249  42.387668  67.899241
ANIDAD     0.385254     1.378     0.2796     822.927312  123.905433  170.727425
ANODOX     0.155395     1.399     0.1111     300.928232  46.033712  64.403981
APAQAL     0.188437     1.173     0.1606     50.286401  8.959148  10.513337
APINAP01     0.283757     1.165     0.2436     395.364137  91.974669  107.137272
APINAP     0.288348     1.162     0.2481     591.853928  137.684641  159.994316
APIXED     0.553165     1.109     0.4990     2344.753703  742.753321  823.343520
APIXUT     0.347681     1.310     0.2654     239.076267  37.791974  49.500008
APOJIZ     0.261486     1.583     0.1652     1254.631872  243.208445  384.951833
APORUS     0.511594     0.937     0.5458     2783.185715  884.560888  829.048928
APUSOV     0.470719     1.058     0.4450     3115.294756  525.354120  555.753345
APUVIS     0.426684     1.121     0.3807     2344.487406  802.378094  899.275554
APUZOB     0.183037     1.555     0.1177     48.126272  8.630308  13.416780
AQASIW     0.305167     1.174     0.2599     887.732267  116.236824  136.459369
AQASUG     0.36661     1.170     0.3132     1269.287266  474.830557  555.779405
AQATAN     0.225377     1.560     0.1444     67.882914  16.039740  25.029813
AQAVOD01     0.326674     1.353     0.2415     22.158921  4.928048  6.666312
AQAVOD     0.451361     1.241     0.3638     740.124521  175.830561  218.137071
AQEKOX     0.535005     0.892     0.5996     2174.760485  751.087475  670.226743
AQEKUD     0.535644     0.850     0.6303     2753.055501  961.383708  817.004192
AQEQES     0.568428     1.076     0.5283     3973.356031  1075.337708  1156.928271
AQESAR     0.231053     1.151     0.2007     688.346007  148.366175  170.816743
AQIREX     0.244541     1.168     0.2094     2495.271709  312.394262  364.896571
AQIROJ     0.319416     1.435     0.2226     479.514147  101.014665  144.979341
AQIVIH     0.748554     0.574     1.3044     4872.840113  3365.786982  1931.467622
AQODER     0.370582     1.429     0.2593     2283.444298  501.310904  716.552925
AQOFAO     0.607781     0.741     0.8207     3204.094778  1118.167747  828.096484
AQONAW     0.214313     1.182     0.1813     525.311126  203.884301  240.943831
AQUCOG     0.707408     1.200     0.5896     8613.967727  1156.524240  1387.494099
AQUCUM     0.712912     1.199     0.5947     8632.303235  1158.985993  1389.394212
AQUDIB     0.702166     1.199     0.5854     8594.170599  1153.866248  1383.987609
AQUMIJ     0.723586     0.534     1.3542     7071.461339  4197.473648  2242.762983
AQUQOT     0.387834     1.778     0.2182     1944.655820  311.210574  553.262208
AQUWUF     0.67137     0.726     0.9251     6461.026418  2155.684161  1564.498559
ARABAY     0.106369     1.657     0.0642     43.588136  5.628631  9.326000
ARABEC     0.112281     1.622     0.0692     78.561699  10.280694  16.671119
ARABIG     0.106879     1.679     0.0637     28.611412  3.674379  6.167866
ARADAA     0.593356     0.879     0.6749     4408.483062  1373.720746  1207.759988
ARAGOR     0.171778     1.425     0.1206     26.101682  2.993213  4.264919
ARAGUX     0.178377     1.734     0.1028     379.685504  57.165282  99.144932
ARAWEW     0.323589     1.194     0.2710     501.449302  149.638866  178.665357
ARAXEW     0.403935     1.123     0.3597     440.601269  112.273489  126.072348
AREGUZ     0.278682     1.737     0.1604     254.237319  29.702504  51.606730
ARESUL     0.413043     1.165     0.3546     1204.244413  221.250945  257.694258
AREZUS     0.362905     1.072     0.3385     450.894750  90.928481  97.475730
ARICIN     0.307877     1.448     0.2126     228.654947  30.342081  43.936132
ARICOT     0.614018     0.885     0.6935     7958.691435  1994.055712  1765.525946
ARINIZ     0.161711     1.746     0.0926     286.794595  53.613793  93.595654
ARINOF     0.296641     1.161     0.2555     46.554823  12.067424  14.008609
ARINUL     0.257885     1.125     0.2291     218.632951  38.088536  42.866534
AROTUW     0.629083     0.954     0.6593     7278.740506  2038.799147  1945.476975
ARUBEW     0.378585     1.116     0.3392     1366.255250  360.787498  402.620393
ARUBOG     0.371541     1.161     0.3201     1103.817342  291.485428  338.317604
ARUCAT     0.380983     1.133     0.3363     1269.854767  335.330989  379.919886
ARUCUN     0.354987     1.171     0.3031     848.007004  224.648394  263.135453
ASABOL     0.171816     1.472     0.1167     13.153131  3.192999  4.699155
ASACEC     0.203535     1.326     0.1535     57.288140  12.784965  16.957523
ASAFEF     0.346088     1.297     0.2668     1953.736578  545.109885  707.171458
ASAJUZ     0.274708     1.633     0.1682     492.474834  83.334915  136.115453
ASALOV     0.281077     1.389     0.2023     102.800900  19.376199  26.917453
ASAMAK     0.591637     1.059     0.5589     5355.157317  1648.218833  1744.825350
ASAYOJ     0.100124     1.411     0.0710     2.377664  0.463830  0.654242
ASEKUE     0.44778     0.923     0.4854     1968.878852  640.200064  590.618800
ASELIV     0.101616     1.663     0.0611     116.466510  11.994991  19.953364
ASEPOD     0.410676     1.032     0.3980     2753.394561  624.633742  644.601407
ASIQEA     0.533197     0.903     0.5908     3684.043819  1216.287379  1097.756289
ASIQIE     0.544229     0.894     0.6091     3766.387332  1243.473096  1111.119061
ASIQUQ     0.573902     1.030     0.5572     6591.913000  1466.231359  1510.142308
ASIVAZ     0.310552     1.072     0.2896     2301.829209  584.118833  626.391036
ASUBIB     0.254549     1.778     0.1431     108.936307  18.662801  33.186997
ASUBIZ     0.538088     1.103     0.4876     3789.046019  817.296664  901.870106
ASUGOK     0.297127     1.232     0.2411     113.343371  33.389985  41.145490
ASULAD     0.23428     1.142     0.2052     146.293718  33.088809  37.777142
ATADEG     0.205377     1.485     0.1383     1210.104678  119.558926  177.487812
ATAPER     0.774236     0.748     1.0353     2400.435017  1202.255270  899.094099
ATARAP     0.202044     1.337     0.1511     1.257147  0.409680  0.547711
ATEGOX     0.630745     0.802     0.7867     5064.450438  1926.486771  1544.498543
ATEHOY     0.445032     1.111     0.4007     2239.888146  534.603040  593.714031
ATEQEX     0.219928     1.524     0.1443     510.114617  86.939010  132.504482
ATERAU     0.314629     1.434     0.2194     283.421949  82.599798  118.458623
ATESAV     0.344051     1.212     0.2840     1567.073371  285.127588  345.447297
ATEVOK     0.64894     0.674     0.9622     4655.970307  2288.344397  1543.344172
ATEYAB     0.41285     1.070     0.3860     781.225788  261.154868  279.309526
ATEYEF     0.226051     1.366     0.1654     0.442329  0.121698  0.166283
ATIBIP     0.334298     1.104     0.3027     1043.165245  184.682567  203.965497
ATIBOU01     0.300023     1.593     0.1884     1053.415759  202.586206  322.664111
ATIBOU02     0.29918     1.589     0.1882     1071.466405  206.057591  327.488217
ATIBOU     0.272912     1.663     0.1641     599.414657  115.275607  191.667983
ATIBUA     0.258612     1.676     0.1543     540.294575  103.906010  174.126716
ATICAH     0.288626     1.595     0.1809     974.517838  187.413061  298.953863
ATICUD     0.621943     0.756     0.8231     9583.617965  2341.405609  1769.094173
ATIDAK     0.31938     1.127     0.2835     799.245871  215.491592  242.781068
ATISUR     0.601738     0.538     1.1177     6015.529500  2811.010847  1513.330150
ATIZUA     0.47921     1.123     0.4266     615.204768  175.121717  196.720974
ATOJOI     0.0506114     2.239     0.0226     0.250658  0.034682  0.077649
ATOMAX     0.731168     0.645     1.1330     4128.968170  2931.634850  1891.882672
ATUQUB     0.600784     0.830     0.7239     5111.460501  1853.614577  1538.396544
ATUYEU     0.312685     1.133     0.2761     235.475880  71.199870  80.646343
